model_name,horizon,accuracy,adjacent_tolerant_accuracy,severe_miss_rate,brier_vol_expansion,brier_vix_spike,risk_bucket_accuracy,false_alarm_rate,missed_risk_rate,vix_directional_accuracy,vvix_directional_accuracy,rv_directional_accuracy,combined_vol_directional_accuracy,avg_lead_quality,notes
heuristic,1,0.5,0.7567567567567568,0.24324324324324326,0.2993658336978649,0.47070929315732435,0.527027027027027,0.47297297297297297,0.0,0.4594594594594595,0.5135135135135135,0.6756756756756757,0.5495495495495495,0.6351351351351351,
heuristic,2,0.4931506849315068,0.6575342465753424,0.3424657534246575,0.2888165593023014,0.5207829976584658,0.547945205479452,0.4520547945205479,0.0,0.4657534246575342,0.5205479452054794,0.5753424657534246,0.5205479452054794,0.6712328767123288,
heuristic,3,0.4722222222222222,0.6527777777777778,0.3472222222222222,0.26030801991397223,0.5495659365806389,0.5555555555555556,0.4444444444444444,0.0,0.5,0.5277777777777778,0.5694444444444444,0.5324074074074074,0.7083333333333334,
hmm_v1_core,1,0.40540540540540543,0.7297297297297297,0.2702702702702703,0.4196946514060811,0.26843381356824325,0.5675675675675675,0.16216216216216217,0.2702702702702703,0.6081081081081081,0.6081081081081081,0.7162162162162162,0.6441441441441441,0.5405405405405406,
hmm_v1_core,2,0.3561643835616438,0.6575342465753424,0.3424657534246575,0.42761715284205476,0.27029013914342465,0.5205479452054794,0.1780821917808219,0.3013698630136986,0.589041095890411,0.6027397260273972,0.6301369863013698,0.6073059360730594,0.5068493150684932,
hmm_v1_core,3,0.3888888888888889,0.6944444444444444,0.3055555555555556,0.4117628262329861,0.22309588178854167,0.6111111111111112,0.125,0.2638888888888889,0.5972222222222222,0.5833333333333334,0.6527777777777778,0.6111111111111112,0.5416666666666666,
hmm_v2_core_plus_sector_corr,1,0.4189189189189189,0.7432432432432432,0.25675675675675674,0.40296982553412164,0.29619342012871624,0.5405405405405406,0.1891891891891892,0.2702702702702703,0.6081081081081081,0.6081081081081081,0.7027027027027027,0.6396396396396397,0.5405405405405406,
hmm_v2_core_plus_sector_corr,2,0.3698630136986301,0.6712328767123288,0.3287671232876712,0.38476697338683563,0.2642611925649178,0.5342465753424658,0.1780821917808219,0.2876712328767123,0.6027397260273972,0.6164383561643836,0.6301369863013698,0.6164383561643836,0.5205479452054794,
hmm_v2_core_plus_sector_corr,3,0.4166666666666667,0.7083333333333334,0.2916666666666667,0.34539173104299997,0.22096923104299998,0.625,0.125,0.25,0.6111111111111112,0.5694444444444444,0.6666666666666666,0.6157407407407408,0.5555555555555556,
hmm_v3_core_plus_sector_geometry,1,0.3783783783783784,0.7027027027027027,0.2972972972972973,0.41168929045556757,0.2768056147798919,0.5540540540540541,0.17567567567567569,0.2702702702702703,0.5675675675675675,0.5675675675675675,0.7027027027027027,0.6126126126126127,0.527027027027027,
hmm_v3_core_plus_sector_geometry,2,0.3561643835616438,0.6027397260273972,0.3972602739726027,0.4112406501539452,0.27850169124983565,0.4931506849315068,0.1917808219178082,0.3150684931506849,0.5616438356164384,0.5753424657534246,0.6164383561643836,0.5844748858447488,0.4794520547945205,
hmm_v3_core_plus_sector_geometry,3,0.375,0.6527777777777778,0.3472222222222222,0.36880057091638885,0.21507462647194445,0.5833333333333334,0.1388888888888889,0.2777777777777778,0.5694444444444444,0.5555555555555556,0.6388888888888888,0.587962962962963,0.5138888888888888,
