model_name,instrument_type,exit_reason,trade_count,dollar_pnl
always_overwrite_baseline,LEAP,leap_profit_exit,3,6761.79
always_overwrite_baseline,LEAP,leap_stop_loss,2,-4101.27
always_overwrite_baseline,SHORT_CALL,expiration,29,5360.16
always_overwrite_baseline,SHORT_CALL,underlying_touch,20,-7309.99
always_overwrite_baseline,SHORT_CALL,loss_exit,13,-1279.74
always_overwrite_baseline,SHORT_CALL,profit_exit,7,1225.5
heuristic_policy,LEAP,leap_profit_exit,3,6312.07
heuristic_policy,LEAP,leap_stop_loss,1,-2039.76
heuristic_policy,SHORT_CALL,expiration,26,4876.17
heuristic_policy,SHORT_CALL,underlying_touch,18,-7232.65
heuristic_policy,SHORT_CALL,loss_exit,8,-849.68
heuristic_policy,SHORT_CALL,profit_exit,7,1260.9
hmm_v3_1_meta_blend,LEAP,leap_profit_exit,1,2566.22
hmm_v3_1_meta_blend,SHORT_CALL,expiration,28,5209.96
hmm_v3_1_meta_blend,SHORT_CALL,underlying_touch,23,-8704.15
hmm_v3_1_meta_blend,SHORT_CALL,loss_exit,14,-1342.17
hmm_v3_1_meta_blend,SHORT_CALL,profit_exit,8,1396.02
hmm_v4_path_aware_meta,LEAP,leap_profit_exit,3,6761.79
hmm_v4_path_aware_meta,LEAP,leap_stop_loss,2,-4101.27
hmm_v4_path_aware_meta,SHORT_CALL,expiration,29,5360.16
hmm_v4_path_aware_meta,SHORT_CALL,underlying_touch,20,-7309.99
hmm_v4_path_aware_meta,SHORT_CALL,loss_exit,13,-1279.74
hmm_v4_path_aware_meta,SHORT_CALL,profit_exit,7,1225.5
no_overwrite_baseline,LEAP,leap_profit_exit,3,6761.79
no_overwrite_baseline,LEAP,leap_stop_loss,2,-4101.27
