model_name,instrument_type,entry_date,exit_date,entry_premium,exit_premium,multiplier,dollar_pnl,exit_reason,strike,dte,predicted_regime,brace_for_impact_score,leap_exposure_pct,overwrite_action,target_premium_mid,vix,vvix,geometry_stress_score,path_stress_score
heuristic_policy,SHORT_CALL,2025-04-24,2025-04-25,2.09,46.4,100,-4431.19,underlying_touch,496.0,1.0,VOL_EXPANSION_TRANSITION,0.45,0.75,normal,2.5,33.62,170.92,0.0,0.0
always_overwrite_baseline,SHORT_CALL,2025-04-24,2025-04-25,2.09,46.4,100,-4431.19,underlying_touch,496.0,1.0,VOL_EXPANSION_TRANSITION,0.45,1.0,normal,2.5,33.62,170.92,0.0,0.0
hmm_v3_1_meta_blend,SHORT_CALL,2025-04-24,2025-04-25,2.09,46.4,100,-4431.19,underlying_touch,496.0,1.0,HIGH_VOL_RISK_OFF,0.965722,0.0,aggressive,3.0,33.62,170.92,0.0,0.0
hmm_v4_path_aware_meta,SHORT_CALL,2025-04-24,2025-04-25,2.09,46.4,100,-4431.19,underlying_touch,496.0,1.0,STABLE_LOW_VOL_TREND,0.033895,1.0,conservative,2.0,33.62,170.92,0.0,0.0
always_overwrite_baseline,LEAP,2025-03-27,2025-04-22,100.0,60.24,100,-3975.83,leap_stop_loss,,,,,,,,,,,
hmm_v4_path_aware_meta,LEAP,2025-03-27,2025-04-22,100.0,60.24,100,-3975.83,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2025-03-27,2025-04-22,100.0,60.24,100,-3975.83,leap_stop_loss,,,,,,,,,,,
always_overwrite_baseline,LEAP,2024-12-05,2025-03-26,100.0,73.68,100,-2632.08,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2024-12-05,2025-03-26,100.0,73.68,100,-2632.08,leap_stop_loss,,,,,,,,,,,
hmm_v4_path_aware_meta,LEAP,2024-12-05,2025-03-26,100.0,73.68,100,-2632.08,leap_stop_loss,,,,,,,,,,,
always_overwrite_baseline,LEAP,2025-04-28,2025-05-06,100.0,74.24,100,-2575.97,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2025-04-28,2025-05-06,100.0,74.24,100,-2575.97,leap_stop_loss,,,,,,,,,,,
hmm_v4_path_aware_meta,LEAP,2025-04-28,2025-05-06,100.0,74.24,100,-2575.97,leap_stop_loss,,,,,,,,,,,
heuristic_policy,LEAP,2026-01-01,2026-03-31,100.0,75.17,100,-2483.5,leap_stop_loss,,,,,,,,,,,
heuristic_policy,LEAP,2025-04-28,2025-05-06,100.0,76.22,100,-2377.62,leap_stop_loss,,,,,,,,,,,
hmm_v3_1_meta_blend,LEAP,2024-08-13,2024-08-29,100.0,76.52,100,-2347.6,leap_stop_loss,,,,,,,,,,,
heuristic_policy,LEAP,2025-04-01,2025-04-22,100.0,77.37,100,-2263.48,leap_stop_loss,,,,,,,,,,,
always_overwrite_baseline,LEAP,2026-03-17,2026-03-31,100.0,77.38,100,-2261.69,leap_stop_loss,,,,,,,,,,,
no_overwrite_baseline,LEAP,2026-03-17,2026-03-31,100.0,77.38,100,-2261.69,leap_stop_loss,,,,,,,,,,,
hmm_v4_path_aware_meta,LEAP,2026-03-17,2026-03-31,100.0,77.38,100,-2261.69,leap_stop_loss,,,,,,,,,,,
